DATE,gasolinecpi
1967/1/1,26.2
1967/4/1,26.4
1967/7/1,26.5
1967/10/1,26.533
1968/1/1,26.833
1968/4/1,26.6
1968/7/1,26.9
1968/10/1,26.967
1969/1/1,27.333
1969/4/1,27.9
1969/7/1,27.767
1969/10/1,27.667
1970/1/1,27.533
1970/4/1,28.067
1970/7/1,27.733
1970/10/1,28.233
1971/1/1,28.2
1971/4/1,27.567
1971/7/1,28.1
1971/10/1,28.533
1972/1/1,28.167
1972/4/1,27.867
1972/7/1,28.467
1972/10/1,29.233
1973/1/1,29.567
1973/4/1,30.567
1973/7/1,30.933
1973/10/1,33.7
1974/1/1,39.567
1974/4/1,43.367
1974/7/1,43.5
1974/10/1,42.5
1975/1/1,42.867
1975/4/1,43.667
1975/7/1,46.567
1975/10/1,47.333
1976/1/1,46.733
1976/4/1,46.2
1976/7/1,46.967
1976/10/1,48.1
1977/1/1,49.133
1977/4/1,49.867
1977/7/1,49.467
1977/10/1,50.5
1978/1/1,50.767
1978/4/1,50.567
1978/7/1,51.833
1978/10/1,54.433
1979/1/1,57.167
1979/4/1,65.533
1979/7/1,75.833
1979/10/1,82.033
1980/1/1,94.6
1980/4/1,98.533
1980/7/1,97.833
1980/10/1,98.9
1981/1/1,108.9
1981/4/1,109.133
1981/7/1,107.367
1981/10/1,108.667
1982/1/1,105.967
1982/4/1,99.267
1982/7/1,103.9
1982/10/1,102.133
1983/1/1,96.367
1983/4/1,99.967
1983/7/1,101.6
1983/10/1,99.667
1984/1/1,99.533
1984/4/1,99.133
1984/7/1,95.767
1984/10/1,96.7
1985/1/1,97
1985/4/1,99.567
1985/7/1,98.9
1985/10/1,98.8
1986/1/1,93.033
1986/4/1,75.8
1986/7/1,70.833
1986/10/1,68.833
1987/1/1,77
1987/4/1,78.767
1987/7/1,82.2
1987/10/1,82.333
1988/1/1,80.567
1988/4/1,80.2
1988/7/1,81.733
1988/10/1,80.6
1989/1/1,82.667
1989/4/1,94.567
1989/7/1,89.767
1989/10/1,86.633
1990/1/1,92.733
1990/4/1,92.367
1990/7/1,101.1
1990/10/1,117.233
1991/1/1,103.733
1991/4/1,98.367
1991/7/1,97.2
1991/10/1,97.767
1992/1/1,96.767
1992/4/1,97.967
1992/7/1,99.867
1992/10/1,101.267
1993/1/1,101.233
1993/4/1,98.1
1993/7/1,94.7
1993/10/1,97.267
1994/1/1,95.533
1994/4/1,94.833
1994/7/1,100.667
1994/10/1,101.767
1995/1/1,100.667
1995/4/1,101.9
1995/7/1,99.633
1995/10/1,96.967
1996/1/1,102.233
1996/4/1,108.767
1996/7/1,104.967
1996/10/1,107.433
1997/1/1,110
1997/4/1,103.133
1997/7/1,105.333
1997/10/1,104.733
1998/1/1,95.7
1998/4/1,91.067
1998/7/1,90.767
1998/10/1,89.1
1999/1/1,86.5
1999/4/1,97.667
1999/7/1,105.567
1999/10/1,110.8
2000/1/1,122.967
2000/4/1,128.133
2000/7/1,131.4
2000/10/1,131.633
2001/1/1,128.467
2001/4/1,135.1
2001/7/1,124.733
2001/10/1,106.767
2002/1/1,102.667
2002/4/1,116.367
2002/7/1,119.6
2002/10/1,125.233
2003/1/1,144.333
2003/4/1,124.133
2003/7/1,136.1
2003/10/1,137.533
2004/1/1,150.167
2004/4/1,154.033
2004/7/1,159.033
2004/10/1,175.967
2005/1/1,172.6
2005/4/1,175.233
2005/7/1,217.633
2005/10/1,213.833
2006/1/1,210.567
2006/4/1,226.533
2006/7/1,239.767
2006/10/1,201.1
2007/1/1,212.172
2007/4/1,236.92
2007/7/1,241.014
2007/10/1,262.035
2008/1/1,276.613
2008/4/1,296.03
2008/7/1,324.878
2008/10/1,208.197
2009/1/1,167.232
2009/4/1,186.152
2009/7/1,220.548
2009/10/1,234.711
2010/1/1,236.962
2010/4/1,227.701
2010/7/1,232.454
2010/10/1,259.33
2011/1/1,283.582
2011/4/1,309.765
2011/7/1,306.782
2011/10/1,305.071
2012/1/1,314.789
2012/4/1,304.62
2012/7/1,307.212
2012/10/1,319.389
2013/1/1,315.756
2013/4/1,293.873
2013/7/1,298.587
2013/10/1,302.557
2014/1/1,304.505
2014/4/1,299.616
2014/7/1,290.568
2014/10/1,266.894
2015/1/1,206.784
2015/4/1,218.937
2015/7/1,216.696
2015/10/1,203.449
2016/1/1,172.871
