observation_date,DFF
1954-07-01,1.03
1954-10-01,0.99
1955-01-01,1.35
1955-04-01,1.50
1955-07-01,1.94
1955-10-01,2.36
1956-01-01,2.48
1956-04-01,2.69
1956-07-01,2.81
1956-10-01,2.93
1957-01-01,2.93
1957-04-01,3.00
1957-07-01,3.23
1957-10-01,3.25
1958-01-01,1.87
1958-04-01,0.94
1958-07-01,1.32
1958-10-01,2.16
1959-01-01,2.58
1959-04-01,3.08
1959-07-01,3.57
1959-10-01,3.99
1960-01-01,3.93
1960-04-01,3.70
1960-07-01,2.94
1960-10-01,2.30
1961-01-01,1.99
1961-04-01,1.73
1961-07-01,1.68
1961-10-01,2.40
1962-01-01,2.46
1962-04-01,2.61
1962-07-01,2.85
1962-10-01,2.92
1963-01-01,2.97
1963-04-01,2.96
1963-07-01,3.33
1963-10-01,3.45
1964-01-01,3.46
1964-04-01,3.49
1964-07-01,3.46
1964-10-01,3.58
1965-01-01,3.98
1965-04-01,4.08
1965-07-01,4.08
1965-10-01,4.17
1966-01-01,4.56
1966-04-01,4.91
1966-07-01,5.41
1966-10-01,5.56
1967-01-01,4.82
1967-04-01,3.99
1967-07-01,3.89
1967-10-01,4.17
1968-01-01,4.79
1968-04-01,5.98
1968-07-01,5.95
1968-10-01,5.92
1969-01-01,6.57
1969-04-01,8.33
1969-07-01,8.98
1969-10-01,8.94
1970-01-01,8.56
1970-04-01,7.88
1970-07-01,6.71
1970-10-01,5.57
1971-01-01,3.86
1971-04-01,4.57
1971-07-01,5.48
1971-10-01,4.75
1972-01-01,3.55
1972-04-01,4.30
1972-07-01,4.74
1972-10-01,5.15
1973-01-01,6.54
1973-04-01,7.82
1973-07-01,10.56
1973-10-01,10.00
1974-01-01,9.33
1974-04-01,11.25
1974-07-01,12.10
1974-10-01,9.34
1975-01-01,6.31
1975-04-01,5.42
1975-07-01,6.16
1975-10-01,5.41
1976-01-01,4.83
1976-04-01,5.20
1976-07-01,5.28
1976-10-01,4.87
1977-01-01,4.66
1977-04-01,5.16
1977-07-01,5.82
1977-10-01,6.51
1978-01-01,6.76
1978-04-01,7.28
1978-07-01,8.09
1978-10-01,9.58
1979-01-01,10.07
1979-04-01,10.18
1979-07-01,10.94
1979-10-01,13.58
1980-01-01,15.07
1980-04-01,12.67
1980-07-01,9.82
1980-10-01,15.85
1981-01-01,16.60
1981-04-01,17.79
1981-07-01,17.59
1981-10-01,13.59
1982-01-01,14.21
1982-04-01,14.51
1982-07-01,11.01
1982-10-01,9.28
1983-01-01,8.66
1983-04-01,8.80
1983-07-01,9.46
1983-10-01,9.43
1984-01-01,9.69
1984-04-01,10.55
1984-07-01,11.39
1984-10-01,9.26
1985-01-01,8.48
1985-04-01,7.92
1985-07-01,7.90
1985-10-01,8.10
1986-01-01,7.83
1986-04-01,6.92
1986-07-01,6.21
1986-10-01,6.27
1987-01-01,6.22
1987-04-01,6.65
1987-07-01,6.84
1987-10-01,6.92
1988-01-01,6.67
1988-04-01,7.15
1988-07-01,7.98
1988-10-01,8.47
1989-01-01,9.45
1989-04-01,9.73
1989-07-01,9.08
1989-10-01,8.61
1990-01-01,8.25
1990-04-01,8.24
1990-07-01,8.16
1990-10-01,7.74
1991-01-01,6.43
1991-04-01,5.86
1991-07-01,5.65
1991-10-01,4.82
1992-01-01,4.02
1992-04-01,3.77
1992-07-01,3.26
1992-10-01,3.03
1993-01-01,3.04
1993-04-01,3.00
1993-07-01,3.06
1993-10-01,2.99
1994-01-01,3.21
1994-04-01,3.94
1994-07-01,4.49
1994-10-01,5.17
1995-01-01,5.80
1995-04-01,6.02
1995-07-01,5.80
1995-10-01,5.72
1996-01-01,5.37
1996-04-01,5.24
1996-07-01,5.31
1996-10-01,5.28
1997-01-01,5.28
1997-04-01,5.52
1997-07-01,5.53
1997-10-01,5.51
1998-01-01,5.52
1998-04-01,5.50
1998-07-01,5.53
1998-10-01,4.86
1999-01-01,4.73
1999-04-01,4.75
1999-07-01,5.10
1999-10-01,5.30
2000-01-01,5.68
2000-04-01,6.27
2000-07-01,6.52
2000-10-01,6.47
2001-01-01,5.60
2001-04-01,4.33
2001-07-01,3.50
2001-10-01,2.13
2002-01-01,1.73
2002-04-01,1.75
2002-07-01,1.74
2002-10-01,1.44
2003-01-01,1.25
2003-04-01,1.25
2003-07-01,1.02
2003-10-01,1.00
2004-01-01,1.00
2004-04-01,1.01
2004-07-01,1.43
2004-10-01,1.95
2005-01-01,2.47
2005-04-01,2.94
2005-07-01,3.46
2005-10-01,3.98
2006-01-01,4.45
2006-04-01,4.91
2006-07-01,5.25
2006-10-01,5.24
2007-01-01,5.25
2007-04-01,5.25
2007-07-01,5.07
2007-10-01,4.50
2008-01-01,3.18
2008-04-01,2.08
2008-07-01,1.94
2008-10-01,0.51
2009-01-01,0.18
2009-04-01,0.18
2009-07-01,0.15
2009-10-01,0.12
2010-01-01,0.13
2010-04-01,0.19
2010-07-01,0.19
2010-10-01,0.19
2011-01-01,0.15
2011-04-01,0.09
2011-07-01,0.08
2011-10-01,0.07
2012-01-01,0.10
2012-04-01,0.15
2012-07-01,0.14
2012-10-01,0.16
2013-01-01,0.14
2013-04-01,0.12
2013-07-01,0.09
2013-10-01,0.09
2014-01-01,0.07
2014-04-01,0.09
2014-07-01,0.09
2014-10-01,0.10
2015-01-01,0.11
2015-04-01,0.13
2015-07-01,0.13
2015-10-01,0.16
2016-01-01,0.36
2016-04-01,0.37
